epoch,loss,val_loss
0,0.25967851281166077,0.25483331084251404
1,0.18832294642925262,0.21414045989513397
2,0.18112890422344208,0.15260745584964752
3,0.1756691038608551,0.14307576417922974
4,0.16787272691726685,0.1642386019229889
5,0.16309526562690735,0.14482127130031586
6,0.15872961282730103,0.12944680452346802
7,0.15555568039417267,0.140372171998024
8,0.1454957127571106,0.12672504782676697
9,0.14499877393245697,0.12046708166599274
10,0.1428479552268982,0.12074420601129532
11,0.13510575890541077,0.12697331607341766
12,0.13056552410125732,0.1332578808069229
13,0.13928276300430298,0.18596409261226654
14,0.13726580142974854,0.1163584291934967
15,0.12555181980133057,0.1359647512435913
16,0.11788401752710342,0.10712045431137085
17,0.12184514850378036,0.10785562545061111
18,0.13132581114768982,0.11445631831884384
19,0.11550510674715042,0.10354501008987427
20,0.1148928627371788,0.11179134249687195
21,0.11910196393728256,0.13043779134750366
22,0.12529081106185913,0.1428321897983551
23,0.113167904317379,0.10429876297712326
24,0.11167862266302109,0.11468569934368134
25,0.11035504192113876,0.10698141157627106
26,0.1068691536784172,0.0928957462310791
27,0.10808107256889343,0.1155625656247139
28,0.11383110284805298,0.10160718113183975
29,0.11339374631643295,0.13503846526145935
30,0.10795429348945618,0.10900036990642548
31,0.10394259542226791,0.11184029281139374
32,0.1081419438123703,0.10311228781938553
33,0.10227233171463013,0.09236196428537369
34,0.09830726683139801,0.09268106520175934
35,0.10016558319330215,0.10647830367088318
36,0.0995926782488823,0.10830226540565491
37,0.10654224455356598,0.10941750556230545
38,0.10476997494697571,0.16355696320533752
39,0.10336562991142273,0.09623129665851593
40,0.09674794971942902,0.0876341462135315
41,0.09765788167715073,0.09063933044672012
42,0.09536287188529968,0.09176816046237946
43,0.09680429100990295,0.10916200280189514
44,0.1010608971118927,0.11835741996765137
45,0.09946587681770325,0.10213544964790344
46,0.10089758783578873,0.11536053568124771
47,0.09395430237054825,0.08351709693670273
48,0.09341025352478027,0.08403001725673676
49,0.09307020902633667,0.10638467967510223
50,0.09151114523410797,0.09506065398454666
51,0.0924811139702797,0.08525985479354858
52,0.0878261923789978,0.07781814783811569
53,0.08811641484498978,0.08451338857412338
54,0.09009525179862976,0.09244169294834137
55,0.09082229435443878,0.09154066443443298
56,0.0908912867307663,0.08181831240653992
57,0.08843395859003067,0.08288751542568207
58,0.09185134619474411,0.09569386392831802
